index,objectid,msoa11cd,geometry,MSOA,MSOA_with_supply
80,6455,E02003952,POINT (183634.2576181346 62069.17592824096),FALSE,FALSE
81,6451,E02003954,POINT (180453.8071713738 61459.98421370646),FALSE,FALSE
82,6453,E02003955,POINT (181953.4664963314 61137.45115901856),FALSE,FALSE
83,6448,E02003956,POINT (197640.5862178776 59256.90650107356),FALSE,FALSE
84,6449,E02003957,POINT (203550.2427177232 57874.08234856735),FALSE,FALSE
85,6471,E02003958,POINT (195951.8246918943 54329.25037217062),FALSE,FALSE
86,6473,E02003959,POINT (206689.1067111974 53773.49867869818),FALSE,FALSE
87,6762,E02003960,POINT (208824.3062726532 53964.04369650179),FALSE,FALSE
88,6763,E02003961,POINT (203289.576899874 53254.91632603508),FALSE,FALSE
89,6760,E02003962,POINT (201252.1642118003 52887.80541262389),FALSE,FALSE
90,6761,E02003963,POINT (202347.7768451162 52518.06510895901),FALSE,FALSE
91,6759,E02003964,POINT (200009.835423725 46500.8127901215),FALSE,FALSE
92,371,E02003976,POINT (326922.5858049042 523402.1207972533),FALSE,FALSE
93,1124,E02003987,POINT (338652.8135495937 568639.594249156),FALSE,FALSE
94,1139,E02003988,POINT (353193.3337305802 561280.0696911269),FALSE,FALSE
95,413,E02004007,POINT (316943.9640912255 480259.8423327997),FALSE,FALSE
96,429,E02004008,POINT (361052.7339974353 538673.5289916822),FALSE,FALSE
97,548,E02004013,POINT (364873.528048326 521691.165601917),FALSE,FALSE
98,545,E02004014,POINT (376075.3569958445 509614.7833530048),FALSE,FALSE
99,546,E02004015,POINT (337717.006096187 504092.0938999725),FALSE,FALSE
100,1339,E02004023,POINT (365509.7547235331 489502.9758567485),FALSE,FALSE
101,1331,E02004027,POINT (339298.0508763767 477024.2865380001),FALSE,FALSE
102,2249,E02004065,POINT (436137.5161725645 369968.1176775295),FALSE,FALSE
103,2261,E02004068,POINT (420012.0552989665 378978.7108380194),FALSE,FALSE
104,2328,E02004074,POINT (428600.0712305498 353864.912194001),FALSE,FALSE
105,2329,E02004075,POINT (420748.7814078236 349897.590268511),FALSE,FALSE
106,2326,E02004076,POINT (418385.1407303087 346079.4332574985),FALSE,FALSE
107,2327,E02004077,POINT (417669.5543746668 338930.2455197236),FALSE,FALSE
108,2526,E02004112,POINT (436162.8087024788 368581.8252603008),FALSE,FALSE
109,2527,E02004113,POINT (441406.4647152129 366025.6766563192),FALSE,FALSE
110,2524,E02004114,POINT (438222.3006558383 366211.5486837015),FALSE,FALSE
111,6164,E02004129,POINT (319111.4251943094 106066.2977304119),FALSE,FALSE
112,6232,E02004130,POINT (316417.9091263833 100588.9426601543),FALSE,FALSE
113,6233,E02004131,POINT (315676.0467467572 99849.49657675988),FALSE,FALSE
114,6228,E02004132,POINT (309178.7844724612 99450.49418888526),FALSE,FALSE
115,6230,E02004133,POINT (330153.5485816004 98657.26168523164),FALSE,FALSE
116,6226,E02004135,POINT (325798.7316378143 94159.80038908619),FALSE,FALSE
117,6220,E02004136,POINT (309741.0382355793 95159.12446456208),FALSE,FALSE
118,6222,E02004137,POINT (317528.7053774905 91058.12954972833),FALSE,FALSE
119,6236,E02004138,POINT (324285.6710146852 90623.82401444286),FALSE,FALSE
120,6237,E02004139,POINT (312779.3970566387 89456.98786998348),FALSE,FALSE
121,6463,E02004140,POINT (312380.2779053279 88035.80895027955),FALSE,FALSE
122,6465,E02004141,POINT (306384.8738033373 88388.71770561265),FALSE,FALSE
123,6460,E02004143,POINT (301852.3305319226 83051.87316610693),FALSE,FALSE
124,6456,E02004145,POINT (306152.5753788215 82493.85717548864),FALSE,FALSE
125,6450,E02004146,POINT (301611.8469515773 82022.19030213877),FALSE,FALSE
126,6452,E02004147,POINT (300190.0082857509 81154.30118604645),FALSE,FALSE
127,6474,E02004148,POINT (301411.890087728 80981.181954987),FALSE,FALSE
128,6114,E02004164,POINT (295381.3499058994 120229.6931405373),FALSE,FALSE
129,6115,E02004165,POINT (296209.4388652662 113632.1193195283),FALSE,FALSE
130,6374,E02004172,POINT (272644.7953032858 103611.453758496),FALSE,FALSE
131,6372,E02004175,POINT (252199.1764055708 147461.7697217075),FALSE,FALSE
132,6366,E02004176,POINT (258884.3086465245 146534.4222646383),FALSE,FALSE
133,6368,E02004177,POINT (251513.4038325623 147011.9662008104),FALSE,FALSE
134,6282,E02004187,POINT (271127.8656488167 125838.0470160489),FALSE,FALSE
135,6611,E02004188,POINT (276186.1231260634 118564.6990154732),FALSE,FALSE
136,6698,E02004190,POINT (269863.1950478952 60001.48234879645),FALSE,FALSE
137,6695,E02004193,POINT (263403.9977680624 56199.15420628389),FALSE,FALSE
138,6694,E02004194,POINT (276777.5836977796 56586.31751697866),FALSE,FALSE
139,6693,E02004195,POINT (287002.4472972382 51369.39431394049),FALSE,FALSE
140,6700,E02004198,POINT (273561.5890928826 44256.68142947918),FALSE,FALSE
141,6699,E02004199,POINT (279786.251554519 43036.02278826103),FALSE,FALSE
142,6653,E02004200,POINT (271336.5207791281 40013.26542449917),FALSE,FALSE
143,6651,E02004203,POINT (277281.4788898847 83938.77180863498),FALSE,FALSE
144,6731,E02004217,POINT (275260.5153919276 69346.43260220738),FALSE,FALSE
145,6191,E02004225,POINT (249823.2598192156 119280.8481047167),FALSE,FALSE
146,6188,E02004226,POINT (257139.3794724069 113418.4895949679),FALSE,FALSE
147,6259,E02004231,POINT (267509.3524349747 89194.69777653116),FALSE,FALSE
148,6256,E02004232,POINT (243287.0630176628 83387.90637200198),FALSE,FALSE
149,6257,E02004233,POINT (248098.7831290744 73942.06320563544),FALSE,FALSE
150,6569,E02004257,POINT (386832.3368885159 123198.8500866328),FALSE,FALSE
151,6584,E02004258,POINT (377736.4877925587 115676.3508131184),FALSE,FALSE
152,6585,E02004259,POINT (385104.2940077144 113622.6442842266),FALSE,FALSE
153,6340,E02004260,POINT (390646.1375962179 107218.4376723939),FALSE,FALSE
154,6341,E02004261,POINT (388924.5002011721 106939.2790782134),FALSE,FALSE
155,6338,E02004262,POINT (380346.0410356361 103099.3386459919),FALSE,FALSE
156,6342,E02004268,POINT (402502.5851441912 78867.81718332402),FALSE,FALSE
157,328,E02004346,POINT (399108.6894237304 521706.420117863),FALSE,FALSE
158,329,E02004347,POINT (405253.4259682876 516733.4303704663),FALSE,FALSE
159,336,E02004348,POINT (401613.9149888934 538169.125612344),FALSE,FALSE
160,5095,E02004357,POINT (560261.9569582469 103061.2738280766),FALSE,FALSE
161,5107,E02004359,POINT (560209.2032305128 102323.373986757),FALSE,FALSE
162,5813,E02004361,POINT (558918.7526256085 100631.8205502041),FALSE,FALSE
163,5809,E02004362,POINT (561921.8278382545 100247.5622447674),FALSE,FALSE
164,5810,E02004363,POINT (560607.3872262884 99929.96826909212),FALSE,FALSE
165,5807,E02004364,POINT (559705.8503724854 99631.11952614423),FALSE,FALSE
166,5808,E02004365,POINT (561695.8233012321 99342.99362675764),FALSE,FALSE
167,5805,E02004366,POINT (561023.5143044414 98727.43977114829),FALSE,FALSE
168,5806,E02004367,POINT (560122.9237347065 98060.73955435341),FALSE,FALSE
169,5454,E02004382,POINT (544968.8996077293 112247.6471061679),FALSE,FALSE
170,5457,E02004389,POINT (548106.0761788997 100021.4426098553),FALSE,FALSE
171,5606,E02004390,POINT (549803.5860836084 99672.72354420178),FALSE,FALSE
172,5605,E02004391,POINT (548485.0467358468 99071.40106625366),FALSE,FALSE
173,5603,E02004393,POINT (586734.5439071531 123569.2963216496),FALSE,FALSE
174,5650,E02004415,POINT (549963.3408529204 117145.8787863642),FALSE,FALSE
175,5266,E02004420,POINT (557447.9888008989 110265.2406152455),FALSE,FALSE
176,5269,E02004421,POINT (558322.1362083671 104876.23682812),FALSE,FALSE
177,5263,E02004423,POINT (558515.8514868796 103346.1924112628),FALSE,FALSE
178,897,E02004446,POINT (572600.9183934155 240100.294409256),FALSE,FALSE
179,3399,E02004450,POINT (570468.3390777174 230388.1145308447),FALSE,FALSE
180,3400,E02004451,POINT (584892.811068723 229382.9379975865),FALSE,FALSE
181,3804,E02004526,POINT (601504.3090147559 213037.5994677784),FALSE,FALSE
182,3881,E02004560,POINT (595867.6592344353 200316.8392296316),FALSE,FALSE
183,3879,E02004562,POINT (594980.5709257748 196332.4075601266),FALSE,FALSE
184,3382,E02004583,POINT (608723.4165410413 216833.0112872368),FALSE,FALSE
185,3448,E02004591,POINT (554225.2619672929 239276.8293632707),FALSE,FALSE
186,3445,E02004593,POINT (550746.6330893554 234198.3258498093),FALSE,FALSE
187,6441,E02004615,POINT (415367.3855565592 239314.6500962134),FALSE,FALSE
188,6439,E02004617,POINT (417006.875950287 221102.5557213032),FALSE,FALSE
189,6447,E02004619,POINT (411616.2025865871 206849.0562126134),FALSE,FALSE
190,6755,E02004620,POINT (403052.2726061378 202273.7826948544),FALSE,FALSE
191,6756,E02004621,POINT (402433.4069224842 201675.5618358682),FALSE,FALSE
192,6753,E02004622,POINT (402193.2172032436 200758.2353683563),FALSE,FALSE
193,6754,E02004623,POINT (416184.0753465559 200999.747125437),FALSE,FALSE
194,6751,E02004624,POINT (404336.1478272313 197090.9213576854),FALSE,FALSE
195,6748,E02004626,POINT (375685.2766265433 225566.0475120094),FALSE,FALSE
196,6103,E02004634,POINT (363629.1193899246 203293.4938853665),FALSE,FALSE
197,6105,E02004635,POINT (354467.6778555116 194294.8454975999),FALSE,FALSE
198,6595,E02004661,POINT (374761.6948282716 199967.5450075836),FALSE,FALSE
199,6592,E02004662,POINT (368397.8500617668 199562.0363810793),FALSE,FALSE
200,6591,E02004665,POINT (375778.6254877422 193125.894916705),FALSE,FALSE
201,5319,E02004694,POINT (446188.7758781551 148291.9438081934),FALSE,FALSE
202,5325,E02004698,POINT (472127.1792975267 140080.5359170052),FALSE,FALSE
203,5324,E02004699,POINT (471402.9805655912 139249.2857642798),FALSE,FALSE
204,5891,E02004702,POINT (480308.827627503 135229.4058215409),FALSE,FALSE
205,5893,E02004703,POINT (466786.4466887602 135038.3825543473),FALSE,FALSE
206,5889,E02004705,POINT (484102.8125011375 131738.9913820566),FALSE,FALSE
207,5288,E02004774,POINT (474588.2706464239 106460.9419708878),FALSE,FALSE
208,5885,E02004787,POINT (441739.9335952707 107287.3771760781),FALSE,FALSE
209,5899,E02004789,POINT (442165.0175702477 106307.1502624635),FALSE,FALSE
210,6033,E02004791,POINT (443589.596161207 103194.8176902778),FALSE,FALSE
211,6031,E02004792,POINT (444420.6787753126 102299.8202764253),FALSE,FALSE
212,5083,E02004821,POINT (439051.4806286636 140870.3929081674),FALSE,FALSE
213,5080,E02004822,POINT (432875.9272096965 130938.5961032295),FALSE,FALSE
214,5930,E02005010,POINT (617995.8632596574 168088.1088555777),FALSE,FALSE
215,5927,E02005012,POINT (617005.2294660792 167441.006422838),FALSE,FALSE
216,5929,E02005013,POINT (615740.7972029377 167368.1395621),FALSE,FALSE
217,5923,E02005014,POINT (613088.040997419 166513.7850088468),FALSE,FALSE
218,5570,E02005020,POINT (617778.398065293 160766.2825859987),FALSE,FALSE
219,5571,E02005021,POINT (613240.8894633189 159594.1480532468),FALSE,FALSE
220,5569,E02005023,POINT (615932.0909940372 158414.9260753304),FALSE,FALSE
221,5566,E02005025,POINT (615638.4866750498 157174.5129022941),FALSE,FALSE
222,5565,E02005027,POINT (619366.4880877171 153283.5702822906),FALSE,FALSE
223,5346,E02005046,POINT (623941.8009189024 152238.6883571052),FALSE,FALSE
224,5391,E02005102,POINT (616705.228339236 142389.2394782089),FALSE,FALSE
225,5387,E02005106,POINT (619835.6468365345 136533.7072267688),FALSE,FALSE
226,2294,E02005368,POINT (475871.9195437416 300360.3175929709),FALSE,FALSE
227,854,E02005391,POINT (478352.5338420077 333857.3685926042),FALSE,FALSE
228,2553,E02005425,POINT (539462.1237852291 394327.7482575579),FALSE,FALSE
229,2145,E02005430,POINT (517608.6784482765 377357.1932858465),FALSE,FALSE
230,2144,E02005433,POINT (555684.5133911857 371936.8871355425),FALSE,FALSE
231,2142,E02005435,POINT (556093.8810758971 364803.0833114408),FALSE,FALSE
232,2140,E02005437,POINT (556472.3178416662 363393.5477299946),FALSE,FALSE
233,2147,E02005438,POINT (555718.5342263087 363449.4010614267),FALSE,FALSE
234,2148,E02005439,POINT (521661.3417591018 358553.7524968999),FALSE,FALSE
235,2511,E02005459,POINT (512770.5246996757 355785.2481120949),FALSE,FALSE
236,2303,E02005461,POINT (506038.8091330798 348433.1820923447),FALSE,FALSE
237,2300,E02005462,POINT (506890.3482167319 345655.1483963517),FALSE,FALSE
238,2301,E02005463,POINT (505802.9339755342 345262.4158117938),FALSE,FALSE
239,2298,E02005464,POINT (514047.1002077885 344062.3985356136),FALSE,FALSE
240,2296,E02005466,POINT (541107.0096582023 324997.4061429368),FALSE,FALSE
241,886,E02005474,POINT (536548.5902221161 318111.7399038858),FALSE,FALSE
242,809,E02005483,POINT (510077.1468269624 328206.0005336749),FALSE,FALSE
243,802,E02005487,POINT (510268.7599794586 313925.2055889205),FALSE,FALSE
244,2183,E02005490,POINT (502718.4096677628 307935.7514427773),FALSE,FALSE
245,2182,E02005491,POINT (501880.6179189873 307362.2441392875),FALSE,FALSE
246,2181,E02005492,POINT (511193.3794150254 401683.9832476638),FALSE,FALSE
247,2177,E02005494,POINT (510870.0804414699 389212.6688579607),FALSE,FALSE
248,3727,E02005509,POINT (582021.0383642899 308622.2880784168),FALSE,FALSE
249,3924,E02005510,POINT (590701.9681757584 305269.1784956436),FALSE,FALSE
250,3925,E02005511,POINT (591830.3753979213 300694.4405514753),FALSE,FALSE
251,3821,E02005512,POINT (594955.7646504237 298731.1882354206),FALSE,FALSE
252,3922,E02005513,POINT (604398.5112802929 295033.3157377695),FALSE,FALSE
253,3818,E02005515,POINT (606200.837260203 291471.8252759388),FALSE,FALSE
254,3631,E02005537,POINT (640470.4079076669 308465.1240736861),FALSE,FALSE
255,3640,E02005538,POINT (649560.3676736406 316841.9990172694),FALSE,FALSE
256,3641,E02005539,POINT (645236.0622052911 317122.8787327834),FALSE,FALSE
257,3364,E02005567,POINT (561241.3407450013 303396.5426817976),FALSE,FALSE
258,3371,E02005568,POINT (565578.5076320635 301600.8074025245),FALSE,FALSE
259,3372,E02005569,POINT (571488.9190888442 291087.2038061097),FALSE,FALSE
260,3762,E02005600,POINT (604668.7443035484 301953.6877212098),FALSE,FALSE
261,3753,E02005606,POINT (641052.551379801 295265.0008146612),FALSE,FALSE
262,3755,E02005607,POINT (617887.1617036844 292881.6470646068),FALSE,FALSE
263,3767,E02005609,POINT (624374.8290081407 283584.5335045393),FALSE,FALSE
264,3960,E02005610,POINT (615716.1478990832 282744.6560290356),FALSE,FALSE
265,3961,E02005611,POINT (611645.063181723 280055.6818418793),FALSE,FALSE
266,2372,E02005629,POINT (500895.6592647433 297540.2298420671),FALSE,FALSE
267,173,E02005705,POINT (405912.6125875271 602020.6189071463),FALSE,FALSE
268,176,E02005708,POINT (408057.8245567172 631735.3446268971),FALSE,FALSE
269,221,E02005712,POINT (429744.874016485 580196.6192160307),FALSE,FALSE
270,80,E02005727,POINT (385506.084774196 582881.9829559766),FALSE,FALSE
271,98,E02005728,POINT (370418.2481805265 564054.9984075021),FALSE,FALSE
272,101,E02005729,POINT (408773.0909957249 563988.9827200751),FALSE,FALSE
273,122,E02005730,POINT (393243.6105676553 563877.9219606566),FALSE,FALSE
274,339,E02005732,POINT (401466.8049004377 562026.4383765297),FALSE,FALSE
275,121,E02005733,POINT (385904.2132913379 563208.6679729759),FALSE,FALSE
276,1469,E02005744,POINT (381787.0748231927 463333.2021761538),FALSE,FALSE
277,1546,E02005752,POINT (438715.32683258 499396.5562119548),FALSE,FALSE
278,1547,E02005753,POINT (437206.6987101086 493814.4904931624),FALSE,FALSE
279,1544,E02005754,POINT (435664.7672822355 492754.2040046776),FALSE,FALSE
280,1545,E02005755,POINT (426693.9555215993 487984.1333568045),FALSE,FALSE
281,1541,E02005756,POINT (431984.5439529693 487030.5175370984),FALSE,FALSE
282,1543,E02005757,POINT (442895.9506934518 482343.7841371993),FALSE,FALSE
283,1549,E02005758,POINT (443215.7198817309 480798.7011732693),FALSE,FALSE
284,1972,E02005766,POINT (417316.0445972702 464592.5856366206),FALSE,FALSE
285,1768,E02005783,POINT (417555.5799122015 501512.4825355246),FALSE,FALSE
286,1767,E02005784,POINT (423893.1072201545 498381.3072913574),FALSE,FALSE
287,1766,E02005785,POINT (418610.9384131461 497723.8011780955),FALSE,FALSE
288,1765,E02005786,POINT (396488.8745299644 491784.5072004806),FALSE,FALSE
289,1763,E02005787,POINT (412399.0417221612 490462.9266751081),FALSE,FALSE
290,1773,E02005788,POINT (469800.7827033477 486563.1125562054),FALSE,FALSE
291,1772,E02005789,POINT (480162.063303925 483834.089340272),FALSE,FALSE
292,1870,E02005790,POINT (462129.0863421019 482326.0538093373),FALSE,FALSE
293,1869,E02005791,POINT (489669.5111153221 473486.7729095822),FALSE,FALSE
294,1868,E02005794,POINT (471635.4982375189 467913.9281776614),FALSE,FALSE
295,1867,E02005795,POINT (488962.0034685445 511005.1058673568),FALSE,FALSE
296,1866,E02005796,POINT (478016.5514242371 511038.7002614432),FALSE,FALSE
297,1864,E02005797,POINT (489970.4128271575 510249.4407139821),FALSE,FALSE
298,1872,E02005798,POINT (493368.0114571872 503354.6884256278),FALSE,FALSE
299,781,E02005893,POINT (466515.7842900816 368206.907954654),FALSE,FALSE
300,2379,E02005900,POINT (469974.8446812649 354107.6860349062),FALSE,FALSE
301,2373,E02005906,POINT (473569.5342419662 340620.4612382327),FALSE,FALSE
302,5386,E02005921,POINT (443721.1642524871 244710.5783435861),FALSE,FALSE
303,2741,E02006020,POINT (366530.5092644874 328859.9408943398),FALSE,FALSE
304,2742,E02006021,POINT (346110.9683090188 326072.4517124048),FALSE,FALSE
305,3307,E02006041,POINT (332788.3760525883 295778.786419727),FALSE,FALSE
306,3304,E02006043,POINT (347872.6786683788 282363.7553680972),FALSE,FALSE
307,3300,E02006044,POINT (334331.4244700343 281125.0273699783),FALSE,FALSE
308,3301,E02006045,POINT (351824.9069429008 275041.7153677131),FALSE,FALSE
309,3299,E02006046,POINT (361706.7201863757 274203.879761616),FALSE,FALSE
310,6318,E02006057,POINT (350151.8410041668 139134.5231773644),FALSE,FALSE
311,6783,E02006058,POINT (347859.407127839 136097.6458353219),FALSE,FALSE
312,6618,E02006060,POINT (348146.420323207 136551.2772955308),FALSE,FALSE
