msoa11cd,geometry
E02001825,POINT (435150.5538117976 547824.8558144625)
E02001822,POINT (433404.7613770041 552170.9815396754)
E02001823,POINT (432596.7444667222 550081.0081952357)
E02001820,POINT (432367.2630751325 552672.7068444518)
E02001821,POINT (438256.554429838 552237.0702570166)
E02004306,POINT (416828.2337279132 547428.5647586387)
E02004307,POINT (420737.4077073952 544743.4696451944)
E02004304,POINT (411915.6986833253 550114.5726132097)
E02004305,POINT (409113.1606667483 550223.5259581262)
E02004302,POINT (418575.7479539621 551794.6017538137)
E02004303,POINT (410914.6330635224 551249.9543152069)
E02004300,POINT (416521.7137760365 552339.5399823472)
E02004301,POINT (420181.2849323682 552155.1320017622)
E02004308,POINT (427870.566478498 545265.9315235401)
E02004309,POINT (426744.3001489877 544666.8494141543)
E02002566,POINT (428686.8648591327 515082.3026978263)
E02002567,POINT (430536.3466096008 514911.5817897079)
E02002564,POINT (427045.6527460829 516057.6767446117)
E02002565,POINT (428128.2250624159 515544.0283324624)
E02002562,POINT (429169.2311799458 516372.8033184336)
E02002563,POINT (430628.9249282938 516258.7820383949)
E02002560,POINT (429302.1531317804 517328.8382297212)
E02002561,POINT (430829.365931557 517008.3793055366)
E02002568,POINT (427904.1419433964 514434.5380966516)
E02002569,POINT (426831.8957221192 514551.9918381482)
E02002487,POINT (450358.3918727442 532896.7938722566)
E02002485,POINT (449994.2250160393 533706.2211563458)
E02002484,POINT (450983.9452060403 534515.9337719964)
E02002483,POINT (448704.6573638038 535399.6684482598)
E02002489,POINT (450415.9264850983 532116.010899524)
E02002488,POINT (449514.0934080472 532800.9855241731)
E02001766,POINT (430409.1748270012 566796.7307573797)
E02001767,POINT (429572.9429290299 566609.0497654839)
E02001764,POINT (434670.7239890447 567433.2191417349)
E02001765,POINT (431932.894704529 566935.3020677242)
E02001762,POINT (428903.2049868506 567884.1423171319)
E02001763,POINT (432146.6549252028 567650.6832866117)
E02001760,POINT (434018.3736622287 568176.9886613782)
E02001761,POINT (430350.3174864606 568051.7081337186)
E02001768,POINT (436819.3673185984 567236.0428800753)
E02001769,POINT (436302.7653737643 566068.1363434286)
E02005706,POINT (399666.1178491502 652312.8210889233)
E02005707,POINT (398736.2515951711 651159.8839859492)
E02005704,POINT (425854.674255103 604276.0920280749)
E02005702,POINT (423484.778608211 614976.1722220371)
E02005703,POINT (418582.232635636 612904.6326409586)
E02005709,POINT (429668.4172345391 581550.2776960926)
E02001685,POINT (418021.1532113803 562398.4824773029)
E02001684,POINT (428809.1855920249 562350.9817763574)
E02001683,POINT (413733.7889268518 563330.7337390172)
E02001682,POINT (415758.0454659915 564062.8109538724)
E02001689,POINT (424925.4107190508 562175.8281131892)
E02001688,POINT (423537.262013718 562254.5680191079)
E02004316,POINT (419450.6457198242 541844.5518002207)
E02004317,POINT (423650.1031365702 539590.7677474129)
E02004314,POINT (427473.0451672495 542031.3826446888)
E02004315,POINT (426275.2122597346 541916.3364204073)
E02004312,POINT (430564.7132910927 543637.4246491969)
E02004313,POINT (429047.1406542131 542819.9823577729)
E02004310,POINT (423562.5788634942 543297.4756110306)
E02004311,POINT (432475.5364549222 543168.4678169354)
E02004318,POINT (430536.7779104046 538331.442243478)
E02004319,POINT (432353.867773679 535964.5383836332)
E02002572,POINT (429061.7073453829 513457.5939719125)
E02002573,POINT (434118.146743789 512973.3337945564)
E02002570,POINT (429955.0216997575 513854.8913534393)
E02002571,POINT (430718.2583991269 513389.9295056809)
E02002497,POINT (451806.153346058 519619.1024007244)
E02002496,POINT (449905.9063242616 519680.4659459924)
E02002494,POINT (448964.9098352527 529635.377485068)
E02002493,POINT (452079.869806875 529789.328856477)
E02002492,POINT (450153.9545856524 529904.8920035096)
E02002491,POINT (449324.9445816975 530952.2721318086)
E02002490,POINT (450559.2999071691 531268.817562649)
E02002499,POINT (451693.5701387263 518844.5147760338)
E02002498,POINT (448777.8833007649 519507.2507471407)
E02001776,POINT (431793.8412332958 564803.3616201483)
E02001777,POINT (430709.4740677744 564482.4045503431)
E02001774,POINT (432897.5208847124 565063.8025694856)
E02001775,POINT (438588.9524335663 564870.0249698946)
E02001772,POINT (436807.2018144419 565160.0257470557)
E02001773,POINT (437778.7112971266 565094.27287579)
E02001770,POINT (437140.5670278167 566164.475901498)
E02001771,POINT (438496.4891578623 565681.3531644393)
E02001778,POINT (436199.1699433564 564495.5440363241)
E02001779,POINT (435033.2000664425 564188.8286224495)
E02005716,POINT (427231.3186908617 577137.7599692062)
E02005717,POINT (431770.3509562808 575812.8983500469)
E02005714,POINT (426686.3350094315 578479.8133210881)
E02005715,POINT (426120.2806486498 576975.4754121597)
E02005713,POINT (431079.624895017 579760.9289530796)
E02005710,POINT (431388.1383648452 581138.5664742073)
E02005711,POINT (430473.9087342942 580789.7172320453)
E02005718,POINT (426768.2282028581 575650.5751607351)
E02005719,POINT (429966.3950193465 575114.9986981769)
E02001697,POINT (426252.2656254309 560434.3673883383)
E02001696,POINT (429163.8823944117 561107.6507212643)
E02001695,POINT (430126.0618033977 561495.0666522451)
E02001694,POINT (422812.3077548381 561380.1506839439)
E02001693,POINT (427658.6613714335 561472.8378665089)
E02001692,POINT (426641.23552842 561563.8048296879)
E02001691,POINT (425249.8651101412 561645.1920177641)
E02001690,POINT (420567.7106773334 561696.9252065127)
