,Distance in meter,origin_id,destination_id
0,15669.6,E02002527,4155
1,608.3,E02002527,4159
2,16577.0,E02002527,4162
3,11904.9,E02002527,4609
4,14355.9,E02002527,5050
5,17197.2,E02002527,5052
6,989.8,E02002527,5056
7,7505.8,E02002527,5064
8,14345.9,E02002527,5491
9,4017.6,E02002527,5499
10,20642.1,E02002527,7938
11,12203.4,E02002527,8189
12,13824.7,E02002527,8514
13,3970.3,E02002527,8976
14,7597.6,E02002527,9915
15,14680.0,E02002527,10096
16,8233.4,E02002527,10137
17,17832.8,E02002527,10749
18,9178.3,E02002527,10850
19,3970.3,E02002527,11009
20,18539.2,E02002527,11015
21,8233.4,E02002527,11137
22,7152.9,E02002527,11176
23,14368.8,E02002527,11438
24,16121.3,E02002527,11444
25,17145.2,E02002527,11851
26,12884.0,E02002527,12098
27,17659.3,E02002527,12205
28,14984.5,E02002527,12438
29,15823.3,E02002527,12751
30,9532.3,E02002527,12816
31,20382.7,E02002527,12992
32,17750.8,E02002527,13130
33,13605.4,E02002527,13921
34,17704.7,E02002527,15549
35,7656.7,E02002527,17798
36,14292.3,E02002527,18050
37,14918.9,E02002527,20888
38,7685.0,E02002527,21453
39,15380.0,E02002692,357
40,16556.1,E02002692,382
41,11440.3,E02002692,2404
42,13027.0,E02002692,2415
43,16337.8,E02002692,2651
44,15302.7,E02002692,3456
45,17735.1,E02002692,3629
46,27140.7,E02002692,3630
47,15530.5,E02002692,3632
48,17192.4,E02002692,3636
49,15547.0,E02002692,3637
50,19465.4,E02002692,3639
51,14341.2,E02002692,3641
52,16517.0,E02002692,3644
53,24323.3,E02002692,3646
54,16435.5,E02002692,3648
55,23806.1,E02002692,3660
56,22545.5,E02002692,3680
57,23191.3,E02002692,3682
58,16409.0,E02002692,4300
59,3120.5,E02002692,4543
60,28710.4,E02002692,5695
61,17171.3,E02002692,6502
62,19805.3,E02002692,7628
63,13947.2,E02002692,7650
64,15098.1,E02002692,7651
65,23179.6,E02002692,7791
66,16327.0,E02002692,8056
67,19696.2,E02002692,8221
68,18729.8,E02002692,8626
69,21796.8,E02002692,8632
70,19381.9,E02002692,8635
71,17398.0,E02002692,8784
72,19794.9,E02002692,9096
73,17115.3,E02002692,9247
74,19126.9,E02002692,9571
75,16317.6,E02002692,9994
76,16918.9,E02002692,10444
77,15420.9,E02002692,10536
78,15250.9,E02002692,10553
79,18975.9,E02002692,10623
80,15825.4,E02002692,11304
81,26733.6,E02002692,11641
82,16491.8,E02002692,11750
83,17708.0,E02002692,11807
84,17695.7,E02002692,11854
85,21710.2,E02002692,11932
86,12286.9,E02002692,12161
87,17012.2,E02002692,12163
88,16679.3,E02002692,12268
89,17590.8,E02002692,12633
90,21845.1,E02002692,13143
91,23179.6,E02002692,13241
92,16967.7,E02002692,13467
93,26952.0,E02002692,13797
94,16422.4,E02002692,13833
95,18975.9,E02002692,14136
96,13861.1,E02002692,14166
97,20182.5,E02002692,14683
98,15007.4,E02002692,14731
99,12908.2,E02002692,14732
100,17398.0,E02002692,14884
101,16124.6,E02002692,14999
102,17138.6,E02002692,15249
103,9552.9,E02002692,15288
104,17398.0,E02002692,16177
105,17238.4,E02002692,16409
106,15794.4,E02002692,16940
107,15528.5,E02002692,17073
108,26840.5,E02002692,17271
109,11051.5,E02002692,17478
110,19437.0,E02002692,17554
111,17633.5,E02002692,17627
112,18156.4,E02002692,17648
113,14353.9,E02002692,17932
114,17191.4,E02002692,19225
115,17409.0,E02002692,20056
116,16493.7,E02002692,20528
117,17223.3,E02002692,20967
118,27275.7,E02002692,21040
119,17171.3,E02002692,21062
120,15947.5,E02002692,21176
121,19824.0,E02002692,21405
122,16959.5,E02002693,393
123,17844.5,E02002693,813
124,17537.3,E02002693,815
125,8184.5,E02002693,932
126,14749.4,E02002693,934
127,17911.7,E02002693,935
128,19537.6,E02002693,936
129,14829.8,E02002693,940
130,17682.0,E02002693,1080
131,18509.8,E02002693,2128
132,19779.6,E02002693,4767
133,15008.1,E02002693,6592
134,20753.8,E02002693,7807
135,18308.9,E02002693,10654
136,18224.6,E02002693,11282
137,14988.4,E02002693,13394
138,16088.6,E02002693,13931
139,19461.4,E02002693,15037
140,14637.2,E02002693,15704
141,18519.1,E02002693,17206
142,17462.6,E02002693,17270
143,18343.5,E02002693,17854
144,20744.4,E02002693,18200
145,18133.0,E02002693,18651
146,18250.9,E02002693,19209
147,17831.6,E02002693,19222
148,18357.8,E02002693,19251
149,17961.9,E02002693,19791
150,17617.7,E02002693,21149
151,15715.3,E02002694,930
