index,Distance in meter,origin_id,destination_id
192,8447.7,E02002721,10178
193,15624.8,E02002721,10700
194,9846.6,E02002721,10785
195,8230.3,E02002721,11475
196,8035.3,E02002721,12057
197,8194.1,E02002721,16149
198,8361.3,E02002721,18427
199,8230.3,E02002721,18573
200,9277.1,E02002721,19535
201,1018.4,E02002722,798
202,7055.2,E02002722,929
203,1118.6,E02002722,2396
204,942.7,E02002722,11686
205,14807.1,E02002723,804
206,888.2,E02002723,812
207,812.9,E02002723,816
208,1585.7,E02002723,1058
209,457,E02002723,1059
210,1262.2,E02002723,1078
211,5073.6,E02002723,2278
212,5867,E02002723,2389
213,15779.3,E02002723,3567
214,410.8,E02002723,6712
215,1298.4,E02002723,9132
216,11678.1,E02002723,9877
217,450.8,E02002723,10178
218,15133.8,E02002723,10402
219,15061.1,E02002723,10460
220,11676.4,E02002723,10655
221,14936.9,E02002723,10785
222,15129.7,E02002723,11119
223,1298.4,E02002723,11475
224,522,E02002723,12057
225,15784.9,E02002723,15868
226,1262.2,E02002723,16149
227,1429.5,E02002723,18427
228,1298.4,E02002723,18573
229,1280.2,E02002723,19535
230,15808.8,E02002724,804
231,1053.9,E02002724,812
232,461.8,E02002724,816
233,1593.7,E02002724,1058
234,679.2,E02002724,1059
235,2117.3,E02002724,1078
236,6075.3,E02002724,2278
237,6868.7,E02002724,2389
238,723.4,E02002724,6712
239,2153.6,E02002724,9132
240,12679.7,E02002724,9877
241,890,E02002724,10178
242,16062.8,E02002724,10460
243,12678.1,E02002724,10655
244,15938.6,E02002724,10785
245,2153.6,E02002724,11475
246,1626.3,E02002724,12057
247,2117.3,E02002724,16149
248,2284.6,E02002724,18427
249,2153.6,E02002724,18573
250,599.3,E02002724,19535
251,7034.5,E02002753,350
252,7605.5,E02002753,369
253,6166.4,E02002753,2936
254,9973.6,E02002753,4149
255,6626.5,E02002753,4418
256,11309.7,E02002753,4834
257,13904.5,E02002753,4845
258,4155.5,E02002753,5276
259,3394.3,E02002753,5497
260,6041.7,E02002753,5500
261,8311.2,E02002753,5503
262,4925.7,E02002753,5504
263,7431,E02002753,5506
264,7298.6,E02002753,5520
265,8467.6,E02002753,6366
266,7036,E02002753,6463
267,4721.2,E02002753,6713
268,2963.1,E02002753,7930
269,7607,E02002753,8385
270,4567.6,E02002753,8561
271,1856,E02002753,8987
272,5557.4,E02002753,9074
273,2856.9,E02002753,10116
274,5513,E02002753,10172
275,14129.2,E02002753,10382
276,9973.6,E02002753,10504
277,3586.9,E02002753,10521
278,4925.7,E02002753,10707
279,2542.5,E02002753,11019
280,8430.2,E02002753,11121
281,15521.4,E02002753,11234
282,8460.7,E02002753,11442
283,2833.5,E02002753,12361
284,6864.6,E02002753,12420
285,4791.5,E02002753,12784
286,3519.8,E02002753,12837
287,8165.7,E02002753,13450
288,3513.4,E02002753,13659
289,4558,E02002753,14210
290,2608.2,E02002753,14973
291,14014.5,E02002753,15308
292,4317.7,E02002753,15645
293,4671.7,E02002753,15987
294,4524.2,E02002753,16223
295,8153.9,E02002753,18398
296,2529.4,E02002753,19454
297,3676.9,E02002753,20022
298,13645,E02002753,21054
299,3815.9,E02002755,350
300,4386.8,E02002755,369
301,2947.7,E02002755,2936
302,8220.4,E02002755,4149
303,2119.9,E02002755,4418
304,8091.1,E02002755,4834
305,15768.6,E02002755,4845
306,14584.1,E02002755,5058
307,1171.9,E02002755,5276
308,1109.4,E02002755,5497
309,6047.9,E02002755,5500
310,5092.5,E02002755,5503
311,2120.3,E02002755,5504
312,4212.3,E02002755,5506
313,14708.4,E02002755,5513
314,4079.9,E02002755,5520
315,5248.9,E02002755,6366
316,3817.3,E02002755,6463
317,1737.6,E02002755,6713
318,678.2,E02002755,7930
319,4388.4,E02002755,8385
320,2192.8,E02002755,8561
321,2357,E02002755,8987
322,2573.8,E02002755,9074
323,3154,E02002755,10116
324,4690.2,E02002755,10172
325,12556,E02002755,10382
326,8220.4,E02002755,10504
327,1301.9,E02002755,10521
328,2120.3,E02002755,10707
329,4051.4,E02002755,11019
330,5446.6,E02002755,11121
331,12537.7,E02002755,11234
332,5242,E02002755,11442
333,3130.7,E02002755,12361
334,3645.9,E02002755,12420
335,1500,E02002755,12784
336,1234.9,E02002755,12837
337,5182.1,E02002755,13450
338,1228.4,E02002755,13659
339,15434.6,E02002755,14174
340,4455.6,E02002755,14210
341,14509.9,E02002755,14238
342,3709.6,E02002755,14973
343,15209.8,E02002755,15013
344,15878.6,E02002755,15308
345,2463.6,E02002755,15645
346,3602.2,E02002755,15987
347,2149.3,E02002755,16223
348,4935.2,E02002755,18398
349,3929.7,E02002755,19454
350,1392,E02002755,20022
351,12071.7,E02002755,21054
352,3403.2,E02002756,350
353,3974.1,E02002756,369
354,2535,E02002756,2936
355,8663.5,E02002756,4149
356,1707.2,E02002756,4418
357,7678.4,E02002756,4834
358,15355.9,E02002756,4845
359,14438.5,E02002756,5058
360,965.6,E02002756,5276
361,696.7,E02002756,5497
362,5635.2,E02002756,5500
363,4679.8,E02002756,5503
364,1707.6,E02002756,5504
365,3799.6,E02002756,5506
366,14562.7,E02002756,5513
367,3667.3,E02002756,5520
368,4836.2,E02002756,6366
369,3404.7,E02002756,6463
370,1591.9,E02002756,6713
371,575.5,E02002756,7930
372,3975.7,E02002756,8385
373,1780.1,E02002756,8561
374,2488.8,E02002756,8987
375,1692.4,E02002756,9074
376,2741.3,E02002756,10116
377,4277.5,E02002756,10172
378,12143.3,E02002756,10382
379,8663.5,E02002756,10504
380,889.2,E02002756,10521
381,1707.6,E02002756,10707
382,3638.7,E02002756,11019
383,5300.9,E02002756,11121
384,12392.1,E02002756,11234
385,4829.3,E02002756,11442
386,2718,E02002756,12361
387,3233.2,E02002756,12420
388,1087.3,E02002756,12784
389,822.2,E02002756,12837
390,5036.4,E02002756,13450
391,815.8,E02002756,13659
392,15288.9,E02002756,14174
393,4042.9,E02002756,14210
394,14364.2,E02002756,14238
395,3296.9,E02002756,14973
396,15064.2,E02002756,15013
