index,objectid,msoa11cd,point_lon,point_lat
122,6465,E02004141,-3.326594754,50.6875929
123,6460,E02004143,-3.389321554,50.63886619
124,6456,E02004145,-3.328385801,50.63455863
125,6450,E02004146,-3.392447688,50.6295686
126,6452,E02004147,-3.412310429,50.62152423
127,6474,E02004148,-3.394996906,50.62017596
128,6114,E02004164,-3.491405861,50.97194963
129,6115,E02004165,-3.477734053,50.91279187
130,6374,E02004172,-3.809274515,50.81800376
131,6372,E02004175,-4.117196569,51.20718766
132,6366,E02004176,-4.021197254,51.20054627
133,6368,E02004177,-4.126820121,51.20296786
134,6282,E02004187,-3.83865594,51.01743492
135,6611,E02004188,-3.764099133,50.95317455
136,6698,E02004190,-3.833428435,50.42541075
137,6695,E02004193,-3.922923947,50.38976693
138,6694,E02004194,-3.735014128,50.39620477
139,6693,E02004195,-3.589649889,50.35136254
140,6700,E02004198,-3.776098708,50.28469103
141,6699,E02004199,-3.688379406,50.27502004
142,6653,E02004200,-3.805870876,50.24606604
143,6651,E02004203,-3.736932205,50.64217785
144,6731,E02004217,-3.760601335,50.5105832
145,6191,E02004225,-4.13946505,50.9533393
146,6188,E02004226,-4.033077211,50.9025175
147,6259,E02004231,-3.876943542,50.68727609
148,6256,E02004232,-4.217129595,50.62907212
149,6257,E02004233,-4.145285459,50.54546096
150,6569,E02004257,-2.189056179,51.00802026
151,6584,E02004258,-2.318236693,50.94009493
152,6585,E02004259,-2.213291036,50.92186632
153,6340,E02004260,-2.134282087,50.86439485
154,6341,E02004261,-2.158736879,50.86185378
155,6338,E02004262,-2.280416479,50.82709393
156,6342,E02004268,-1.965992794,50.60952045
157,328,E02004346,-2.015307908,54.59054763
158,329,E02004347,-1.920304868,54.5458313
159,336,E02004348,-1.976455,54.73849104
160,5095,E02004357,0.273085848,50.80494742
161,5107,E02004359,0.272016111,50.79833163
162,5813,E02004361,0.252988649,50.78348702
163,5809,E02004362,0.295383768,50.77920416
164,5810,E02004363,0.276616491,50.77671565
165,5807,E02004364,0.263710502,50.77427909
166,5808,E02004365,0.29178339,50.77113927
167,5805,E02004366,0.281987677,50.7657951
168,5806,E02004367,0.268937948,50.76005348
169,5454,E02004382,0.05983601,50.89152753
170,5457,E02004389,0.099472731,50.78086233
171,5606,E02004390,0.12339188,50.77729293
172,5605,E02004391,0.104461154,50.77222794
173,5603,E02004393,0.658862155,50.98124617
174,5650,E02004415,0.132808069,50.93426976
175,5266,E02004420,0.236275166,50.8704506
176,5269,E02004421,0.246360856,50.82178887
177,5263,E02004423,0.248448357,50.80798756
178,897,E02004446,0.514725341,52.03244905
179,3399,E02004450,0.478845025,51.94587064
180,3400,E02004451,0.687936238,51.93224054
181,3804,E02004526,0.91970968,51.77971186
182,3881,E02004560,0.830958668,51.66747765
183,3879,E02004562,0.815928199,51.63200431
184,3382,E02004583,1.026489254,51.81114527
185,3448,E02004591,0.246714244,52.03046153
186,3445,E02004593,0.193814397,51.9857914
187,6441,E02004615,-1.777309575,52.0520094
188,6439,E02004617,-1.754297234,51.88822316
189,6447,E02004619,-1.833096498,51.7602083
190,6755,E02004620,-1.957216245,51.719182
191,6756,E02004621,-1.966178736,51.71380622
192,6753,E02004622,-1.969660707,51.70555935
193,6754,E02004623,-1.767184003,51.70750454
194,6751,E02004624,-1.938693989,51.67257389
195,6748,E02004626,-2.355012494,51.92807353
196,6103,E02004634,-2.527988671,51.72717079
197,6105,E02004635,-2.659445194,51.64559668
198,6595,E02004661,-2.366570311,51.69788131
199,6592,E02004662,-2.458608548,51.69391188
200,6591,E02004665,-2.351380162,51.63641281
201,5319,E02004694,-1.339849875,51.23195184
202,5325,E02004698,-0.970050319,51.15544361
203,5324,E02004699,-0.980568345,51.14806088
204,5891,E02004702,-0.854166416,51.11074268
205,5893,E02004703,-1.047337452,51.11075793
206,5889,E02004705,-0.800793615,51.07882
207,5288,E02004774,-0.941764306,50.85286537
208,5885,E02004787,-1.408278385,50.8635938
209,5899,E02004789,-1.40235126,50.85474887
210,6033,E02004791,-1.382483539,50.82665756
211,6031,E02004792,-1.370792717,50.81854676
212,5083,E02004821,-1.442872248,51.1657526
213,5080,E02004822,-1.532093026,51.07683545
214,5930,E02005010,1.130535247,51.36998899
215,5927,E02005012,1.115930896,51.36455818
216,5929,E02005013,1.097751518,51.36438524
217,5923,E02005014,1.059191599,51.35771472
218,5570,E02005020,1.122942093,51.30433458
219,5571,E02005021,1.057246088,51.29552666
220,5569,E02005023,1.095074917,51.28392542
221,5566,E02005025,1.090123262,51.27289924
222,5565,E02005027,1.141100904,51.2365434
223,5346,E02005046,1.205882051,51.22538679
224,5391,E02005102,1.096470238,51.13974178
225,5387,E02005106,1.137583345,51.08597514
226,2294,E02005368,-0.881327061,52.59575125
227,854,E02005391,-0.836724409,52.89646163
228,2553,E02005425,0.097488891,53.42730376
229,2145,E02005430,-0.237527796,53.28015527
230,2144,E02005433,0.330443013,53.22167251
231,2142,E02005435,0.333087206,53.15748091
232,2140,E02005437,0.338053899,53.1447103
233,2147,E02005438,0.326820955,53.14543257
234,2148,E02005439,-0.183932321,53.11030551
235,2511,E02005459,-0.317659556,53.0873815
236,2303,E02005461,-0.420546361,53.02269615
237,2300,E02005462,-0.408774763,52.99756443
238,2301,E02005463,-0.425099005,52.99425106
239,2298,E02005464,-0.302749309,52.98177902
240,2296,E02005466,0.091769943,52.8040786
241,886,E02005474,0.021327908,52.74339049
242,809,E02005483,-0.367220901,52.84012833
243,802,E02005487,-0.369181032,52.71176409
244,2183,E02005490,-0.482767648,52.65942391
245,2182,E02005491,-0.495326511,52.65442791
246,2181,E02005492,-0.325141885,53.500108
247,2177,E02005494,-0.334402495,53.3881254
248,3727,E02005509,0.688982816,52.64479542
249,3924,E02005510,0.815195088,52.61170914
250,3925,E02005511,0.82919082,52.57023644
251,3821,E02005512,0.874092939,52.55149925
252,3922,E02005513,1.010892195,52.51484131
253,3818,E02005515,1.035209257,52.48219051
254,3631,E02005537,1.551211015,52.62065647
255,3640,E02005538,1.691539409,52.69170843
256,3641,E02005539,1.627898658,52.69620183
257,3364,E02005567,0.379601085,52.60442658
258,3371,E02005568,0.442687491,52.58699475
259,3372,E02005569,0.524416305,52.4907403
260,3762,E02005600,1.019132124,52.57686685
261,3753,E02005606,1.55020749,52.50196022
262,3755,E02005607,1.20794538,52.49030838
263,3767,E02005609,1.297093408,52.40423878
264,3960,E02005610,1.169477618,52.40017853
265,3961,E02005611,1.108034213,52.37762804
266,2372,E02005629,-0.512875202,52.5663441
267,173,E02005705,-1.908394902,55.3122361
268,176,E02005708,-1.873749762,55.57920699
269,221,E02005712,-1.535219922,55.11527798
270,80,E02005727,-2.22890427,55.14007852
271,98,E02005728,-2.463619716,54.97022872
272,101,E02005729,-1.864489339,54.97044489
273,122,E02005730,-2.107068822,54.96947471
274,339,E02005732,-1.978628201,54.95288241
275,121,E02005733,-2.221679044,54.96330551
276,1469,E02005744,-2.279772017,54.06561339
277,1546,E02005752,-1.405327183,54.38858883
278,1547,E02005753,-1.429252886,54.33853683
279,1544,E02005754,-1.453093469,54.32911808
280,1545,E02005755,-1.591455827,54.28679568
281,1541,E02005756,-1.510291689,54.27792316
282,1543,E02005757,-1.343397173,54.23500852
283,1549,E02005758,-1.338713568,54.22109649
284,1972,E02005766,-1.736844665,54.07697087
285,1768,E02005783,-1.731036391,54.40876885
286,1767,E02005784,-1.633649596,54.3803727
287,1766,E02005785,-1.71501302,54.37468289
288,1765,E02005786,-2.055483057,54.32162854
289,1763,E02005787,-1.810936062,54.30961641
290,1773,E02005788,-0.92971096,54.26996812
291,1772,E02005789,-0.771380575,54.24393078
292,1870,E02005790,-1.048367361,54.23288148
293,1869,E02005791,-0.628610118,54.14938779
294,1868,E02005794,-0.905977079,54.10213842
295,1867,E02005795,-0.628271952,54.48659848
296,1866,E02005796,-0.797175503,54.48869872
297,1864,E02005797,-0.612940708,54.47963181
298,1872,E02005798,-0.562692526,54.41707554
299,781,E02005893,-1.005567752,53.20677856
300,2379,E02005900,-0.956861232,53.07961921
301,2373,E02005906,-0.906279031,52.95792061
302,5386,E02005921,-1.363155056,52.09901327
303,2741,E02006020,-2.498503143,52.85618371
304,2742,E02006021,-2.801268736,52.82946745
305,3307,E02006041,-2.992776834,52.55568008
306,3304,E02006043,-2.768208933,52.43674769
307,3300,E02006044,-2.967126448,52.42415116
308,3301,E02006045,-2.709021124,52.37129052
309,3299,E02006046,-2.563789538,52.3645405
310,6318,E02006057,-2.714047337,51.14928796
311,6783,E02006058,-2.746378306,51.12177788
312,6618,E02006060,-2.742343146,51.12588272
313,6619,E02006061,-2.783964082,51.28026012
