index,geometry,point_lon,point_lat
182,POINT (-2.071597087520613 53.49309949062835),-2.071597088,53.49309949
183,POINT (-2.228164987638804 53.42956489057329),-2.228164988,53.42956489
184,POINT (-2.229486487600373 53.51788239066072),-2.229486488,53.51788239
185,POINT (-2.229486487600373 53.51788239066072),-2.229486488,53.51788239
186,POINT (-2.229486487600373 53.51788239066072),-2.229486488,53.51788239
187,POINT (-2.639791987758392 53.71914999088372),-2.639791988,53.71914999
188,POINT (-3.01375158795087 53.82058799100794),-3.013751588,53.82058799
189,POINT (-2.228171987471891 53.80982799095167),-2.228171987,53.80982799
190,POINT (-2.228171987471891 53.80982799095167),-2.228171987,53.80982799
191,POINT (-2.733031087575411 54.30547249148777),-2.733031088,54.30547249
192,POINT (-2.706953387769875 53.79039279095954),-2.706953388,53.79039279
193,POINT (-0.103751487622432 51.50191258878147),-0.103751488,51.50191259
194,POINT (-2.979219688005908 53.63330429081549),-2.979219688,53.63330429
195,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
196,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
197,POINT (-3.095328288189223 53.36981299055542),-3.095328288,53.36981299
198,POINT (-0.1349226876214647 51.5233356887986),-0.134922688,51.52333569
199,POINT (-3.095527888189668 53.36905019055465),-3.095527888,53.36905019
200,POINT (-2.100448587540451 53.4855415906223),-2.100448588,53.48554159
201,POINT (-2.635750987778626 53.66554259082945),-2.635750988,53.66554259
202,POINT (-0.6213999877310048 51.66289998890988),-0.621399988,51.66289999
203,POINT (-0.6213999877310048 51.66289998890988),-0.621399988,51.66289999
204,POINT (-1.221979087941097 51.75105288898344),-1.221979088,51.75105289
205,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
206,POINT (-0.9581843879895181 51.44929238872642),-0.958184388,51.44929239
207,POINT (-0.7543321879230456 51.41656888870143),-0.754332188,51.41656889
208,POINT (-0.7408512879725225 51.31897528862056),-0.740851288,51.31897529
209,POINT (-1.110930288147202 51.28153308858369),-1.110930288,51.28153309
210,POINT (-1.110930288147202 51.28153308858369),-1.110930288,51.28153309
211,POINT (-1.298902288545537 50.70996108811222),-1.298902289,50.70996109
212,POINT (-1.070561788372031 50.84972568823078),-1.070561788,50.84972569
213,POINT (-1.085430588147514 51.26131268856722),-1.085430588,51.26131269
214,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
215,POINT (0.2588830124667064 51.43525208873393),0.258883012,51.43525209
216,POINT (0.9144713124956598 51.14143278852265),0.914471312,51.14143279
217,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
218,POINT (0.47874111244511 51.27823918861443),0.478741112,51.27823919
219,POINT (0.47874111244511 51.27823918861443),0.478741112,51.27823919
220,POINT (0.3069464123099215 51.14833348850763),0.306946412,51.14833349
221,POINT (0.4840182124448459 51.27500788861206),0.484018212,51.27500789
222,POINT (-0.09093828763733293 51.46829068875413),-0.090938288,51.46829069
223,POINT (-0.2089990877658011 51.32224138863304),-0.208999088,51.32224139
224,POINT (-0.472997987795354 51.4440569887282),-0.472997988,51.44405699
225,POINT (-0.2732029877878223 51.32515488863411),-0.273202988,51.32515489
226,POINT (-0.1847979877229661 51.38040578868078),-0.184797988,51.38040579
227,POINT (-0.6085177879641972 51.24112428855894),-0.608517788,51.24112429
228,POINT (-0.5276196878539243 51.37875228867343),-0.527619688,51.37875229
229,POINT (-0.1645735878105862 51.21831628855021),-0.164573588,51.21831629
230,POINT (-0.1752283876925613 51.42656298871857),-0.175228388,51.42656299
231,POINT (0.2105834124564843 51.44593728874154),0.210583412,51.44593729
232,POINT (0.5681561122301306 50.88499118831488),0.568156112,50.88499119
233,POINT (-0.001808087802224432 51.13534528848837),-0.001808088,51.13534529
234,POINT (-0.1179588880321825 50.81924968823773),-0.117958888,50.81924969
235,POINT (0.2105834124564843 51.44593728874154),0.210583412,51.44593729
236,POINT (0.2105834124564843 51.44593728874154),0.210583412,51.44593729
237,POINT (0.2105834124564843 51.44593728874154),0.210583412,51.44593729
238,POINT (0.2105834124564843 51.44593728874154),0.210583412,51.44593729
239,POINT (0.2105834124564843 51.44593728874154),0.210583412,51.44593729
240,POINT (0.2105834124564843 51.44593728874154),0.210583412,51.44593729
241,POINT (-0.3243211877211913 51.47362888875482),-0.324321188,51.47362889
242,POINT (-0.3636177881199435 50.81665688822686),-0.363617788,50.81665689
243,POINT (-0.1676839876843465 51.43590098872635),-0.167683988,51.43590099
244,POINT (-1.335950387834102 52.05403088925105),-1.335950388,52.05403089
245,POINT (-1.218877387932576 51.76439098899505),-1.218877388,51.76439099
246,POINT (0.47874111244511 51.27823918861443),0.478741112,51.27823919
247,POINT (-0.3427634878272832 51.30194958861384),-0.342763488,51.30194959
248,POINT (-0.1654127876155607 51.55308108882268),-0.165412788,51.55308109
249,POINT (-0.05886868759672665 51.51787078879525),-0.058868688,51.51787079
250,POINT (-0.1720674876185806 51.5521468888218),-0.172067488,51.55214689
251,POINT (-0.1422451876236649 51.5242154887992),-0.142245188,51.52421549
252,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
253,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
254,POINT (-5.092239590808032 50.26623008765522),-5.092239591,50.26623009
255,POINT (-4.050628089777146 51.09240558839486),-4.05062809,51.09240559
256,POINT (-3.506553989630592 50.71629718806845),-3.50655399,50.71629719
257,POINT (-3.553908189769567 50.48232108786829),-3.55390819,50.48232109
258,POINT (-4.116407990124737 50.41669938780161),-4.11640799,50.41669939
259,POINT (-2.445998589069863 50.71260578808465),-2.445998589,50.71260579
260,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
261,POINT (-0.09377078763849919 51.46806258875391),-0.093770788,51.46806259
262,POINT (-0.185719187656126 51.49602918877536),-0.185719188,51.49602919
263,POINT (-0.1398753875982149 51.56664848883423),-0.139875388,51.56664849
264,POINT (-2.072142188279877 51.8920871891119),-2.072142188,51.89208719
265,POINT (-3.119649389272356 51.01196188832928),-3.119649389,51.01196189
266,POINT (-2.63431058904642 50.94475238827703),-2.634310589,50.94475239
267,POINT (0.2997175125993716 51.63487388889644),0.299717513,51.63487389
268,POINT (0.51860591265912 51.61037968888005),0.518605913,51.61037969
269,POINT (-0.1277582876280974 51.50735088878556),-0.127758288,51.50735089
270,POINT (0.4614640126175946 51.57294888884879),0.461464013,51.57294889
271,POINT (-0.3218437874029038 52.03471728922833),-0.321843787,52.03471729
272,POINT (-0.5191429875657507 51.88503748909972),-0.519142988,51.88503749
273,POINT (-0.05003848758130195 51.53881568881256),-0.050038488,51.53881569
274,POINT (-0.5290832875365289 51.94523308915154),-0.529083288,51.94523309
275,POINT (-0.6149965875925819 51.90796878911943),-0.614996588,51.90796879
276,POINT (-0.1399842875706484 51.61444678887379),-0.139984288,51.61444679
277,POINT (0.3429604130208746 52.33515658948402),0.342960413,52.33515659
278,POINT (0.1564637131347544 52.66520658977436),0.156463713,52.66520659
279,POINT (-0.2256219870804378 52.55118308967994),-0.225621987,52.55118309
280,POINT (0.1547005128665515 52.18622288935717),0.154700513,52.18622289
281,POINT (-0.108915087610994 51.52485238880023),-0.108915088,51.52485239
282,POINT (0.1099480128655283 52.21414308938133),0.109948013,52.21414309
283,POINT (-0.241766587069344 52.58402238970947),-0.241766587,52.58402239
284,POINT (-0.2563540870699816 52.59404208971871),-0.256354087,52.59404209
285,POINT (-0.2393428870785484 52.56512498969257),-0.239342887,52.56512499
286,POINT (-0.1278429876715467 51.43275398872449),-0.127842988,51.43275399
287,POINT (-0.1871539871833226 52.33406368948766),-0.187153987,52.33406369
288,POINT (-0.2062270876636416 51.49624788877524),-0.206227088,51.49624789
289,POINT (-0.0423111876349638 51.44217458873367),-0.042311188,51.44217459
290,POINT (0.1224392128472767 52.17355048934642),0.122439213,52.17355049
291,POINT (-0.09643648760544654 51.52650368880175),-0.096436488,51.52650369
292,POINT (-0.08152108758474948 51.55269588882352),-0.081521088,51.55269589
293,POINT (-0.1764444876365246 51.52393098879849),-0.176444488,51.52393099
294,POINT (-0.08800968761645254 51.50228028878203),-0.088009688,51.50228029
295,POINT (-0.2598006872607321 52.24654638941182),-0.259800687,52.24654639
296,POINT (-0.09365558758020995 51.56820678883613),-0.093655588,51.56820679
297,POINT (-0.02058598727749589 52.04870168923992),-0.020585987,52.04870169
298,POINT (0.6068438126727667 51.5846281888609),0.606843813,51.58462819
299,POINT (0.5901832126279571 51.51951548880838),0.590183213,51.51951549
300,POINT (-0.1588200875714216 51.6253289888826),-0.158820088,51.62532899
301,POINT (-0.01194498743770884 51.76250598899826),-0.011944987,51.76250599
302,POINT (-0.1727789874761129 51.80103298902944),-0.172778987,51.80103299
303,POINT (-0.02963368741756069 51.80896458903701),-0.029633687,51.80896459
304,POINT (-0.07973678744346664 51.7964867890262),-0.079736787,51.79648679
305,POINT (0.09167581243850351 51.48573828877151),0.091675812,51.48573829
306,POINT (0.1924064127009079 51.87312688909218),0.192406413,51.87312689
307,POINT (-0.05526728748181884 51.71382798895727),-0.055267287,51.71382799
308,POINT (-0.1878086874344436 51.88461318910003),-0.187808687,51.88461319
309,POINT (-0.03502138748252769 51.69960418894565),-0.035021387,51.69960419
310,POINT (-0.1277582876280974 51.50735088878556),-0.127758288,51.50735089
311,POINT (-0.4129788876294588 51.69496098893846),-0.412978888,51.69496099
312,POINT (-0.4813455876893415 51.63675518888892),-0.481345588,51.63675519
313,POINT (-0.3544869875659082 51.76679208899951),-0.354486988,51.76679209
314,POINT (-0.4225523876579343 51.65123068890158),-0.422552388,51.65123069
315,POINT (-0.3740043876421643 51.6455025888972),-0.374004388,51.64550259
316,POINT (-0.3738924876420938 51.64554928889726),-0.373892488,51.64554929
317,POINT (-0.4010739876466428 51.656277288906),-0.401073988,51.65627729
318,POINT (-0.35359758753881 51.81428038903973),-0.353597588,51.81428039
319,POINT (1.148655113136986 52.06402298925689),1.148655113,52.06402299
320,POINT (1.02623861304558 51.97734028918496),1.026238613,51.97734029
321,POINT (-0.01136798754372138 51.5791626888463),-0.011367988,51.57916269
322,POINT (-0.1252812876425885 51.48085368876385),-0.125281288,51.48085369
323,POINT (-0.09139268760253673 51.52832308880333),-0.091392688,51.52832309
324,POINT (1.170022113239544 52.22331048938797),1.170022113,52.22331049
325,POINT (0.04642681241849934 51.47905008876528),0.046426812,51.47905009
326,POINT (1.491892113338443 52.2182425893854),1.491892113,52.21824259
327,POINT (1.222785813141604 52.03287628923217),1.222785813,52.03287629
328,POINT (0.9519693130608463 52.04270768923789),0.951969313,52.04270769
329,POINT (-0.06712488758512976 51.54296418881573),-0.067124888,51.54296419
330,POINT (-0.4138936875111062 51.90664608911838),-0.413893688,51.90664609
331,POINT (-0.07175948761180743 51.50006078878044),-0.071759488,51.50006079
332,POINT (0.5862990127449512 51.71601228896676),0.586299013,51.71601229
333,POINT (0.6802402127836541 51.72873788897845),0.680240213,51.72873789
334,POINT (0.4729581127216159 51.74084898898543),0.472958113,51.74084899
335,POINT (-0.1711501876920448 51.42486598871726),-0.171150188,51.42486599
336,POINT (0.4560430127072972 51.72642078897344),0.456043013,51.72642079
337,POINT (-0.1259818875844887 51.58146218884665),-0.125981888,51.58146219
338,POINT (-0.08591258752307297 51.66202158891389),-0.085912588,51.66202159
339,POINT (0.6373753128107372 51.7976118890339),0.637375313,51.79761189
340,POINT (-0.3151979876968568 51.50994508878498),-0.315197988,51.50994509
341,POINT (-0.7668257876066364 51.99975528919943),-0.766825788,51.99975529
342,POINT (-0.7957942876155221 52.00638678920534),-0.795794288,52.00638679
343,POINT (-0.7254809875419903 52.08641278927509),-0.725480988,52.08641279
344,POINT (-0.6496306875497568 52.01262328921017),-0.649630688,52.01262329
345,POINT (0.08772621246565177 51.53425828881099),0.087726212,51.53425829
346,POINT (0.7482430132143461 52.42020028955407),0.748243013,52.42020029
347,POINT (0.981378013457372 52.70203808979323),0.981378013,52.70203809
348,POINT (-0.03209138755052988 51.58043318884705),-0.032091388,51.58043319
349,POINT (1.319520513531076 52.63327498973068),1.319520514,52.63327499
350,POINT (1.743793613568417 52.4681151895911),1.743793614,52.46811519
351,POINT (-1.335792588190485 51.3822405886657),-1.335792588,51.38224059
352,POINT (0.8676180134959057 52.83934098991412),0.867618013,52.83934099
353,POINT (1.235852113485815 52.60307878970581),1.235852113,52.60307879
354,POINT (0.2725691132022562 52.70620918980845),0.272569113,52.70620919
355,POINT (0.002561512523093645 51.68542218893423),0.002561513,51.68542219
356,POINT (1.66583941346447 52.33657578948299),1.665839413,52.33657579
357,POINT (0.4982265133835408 52.87925518995692),0.498226513,52.87925519
358,POINT (1.213245813673223 52.94010788999514),1.213245814,52.94010789
359,POINT (-0.02190828759591625 51.49628708877819),-0.021908288,51.49628709
360,POINT (1.342834513501751 52.57045518967746),1.342834514,52.57045519
361,POINT (-0.02068418755145551 51.57170008884004),-0.020684188,51.57170009
362,POINT (1.417359413611704 52.71611378979994),1.417359414,52.71611379
363,POINT (-0.2717232877066995 51.46422698874789),-0.271723288,51.46422699
364,POINT (-0.1077787875951329 51.55145548882214),-0.107778788,51.55145549
365,POINT (1.150321412969856 51.78859798903423),1.150321413,51.78859799
366,POINT (0.9016331129626953 51.9063884891258),0.901633113,51.90638849
367,POINT (1.260802213093245 51.93399458915259),1.260802213,51.93399459
368,POINT (-0.1106422875413157 51.64634108890058),-0.110642288,51.64634109
369,POINT (0.691989812673687 51.54053348882732),0.691989813,51.54053349
370,POINT (0.7299920126856653 51.54018138882785),0.729992013,51.54018139
371,POINT (-0.1915601876498086 51.51070418878735),-0.191560188,51.51070419
372,POINT (-0.09938498762392529 51.49659558877717),-0.099384988,51.49659559
373,POINT (0.3279775125274511 51.49754378878548),0.327977513,51.49754379
374,POINT (0.368322712531888 51.48213338877385),0.368322713,51.48213339
375,POINT (0.200475012720574 51.90205098911642),0.200475013,51.90205099
376,POINT (0.1229417125780753 51.70484278895164),0.122941713,51.70484279
377,POINT (0.09102511259535651 51.75439528899241),0.091025113,51.75439529
378,POINT (0.01228511237522485 51.42617598872167),0.012285112,51.42617599
379,POINT (0.04633911250157737 51.62099248888151),0.046339113,51.62099249
380,POINT (0.894088913148809 52.22289088938709),0.894088913,52.22289089
381,POINT (0.005555612451082646 51.55972218883058),0.005555612,51.55972219
382,POINT (0.7524632129891744 52.03297958922859),0.752463213,52.03297959
383,POINT (-0.05034628757384847 51.55181258882326),-0.050346288,51.55181259
